,username,content,c_bag_of_words,date,tweet_id,outlinks,n_links,url,n_likes,n_quotes,language,replies,tweet_quotes,tweet_likers,count,quoted,liked,day_day,period,hashtags,emojis,cluster
0,liverpooldzz," flash - lors de la ceremonie des jeux mediterraneens, le public a acclame les sous les chants de  khawa khawa , d'ailleurs la delegation a egalement salue le public algerien  !",flash lors ceremonie jeu mediterraneen public avoir acclame sous chant khawa khawa de delegation avoir egalement salue public algerien,2022-08-17 22:21:51+00:00,1560029164165636101,,0,https://twitter.com/liverpooldzz/status/1560029164165636101,0,0,fr,0,,,1,0,0,2022-08-17,1.0,#Algérien #Marocains #Oran2022,🇩🇿 🇲🇦 🇿🇲 🤝,2
1,APS_Algerie,"championnat arabe de "" "" (3e journee) : deux medailles dor  supplementaires pour l   https://t.co/ezhuip9yde https://t.co/m6ankbdwvj",championnat arabe ( journee deux medaille dor supplementaire https://t.co/ezhuip9yd https://t.co/m6ankbdwvj,2022-07-23 10:01:26+00:00,1550783138003140609,https://www.aps.dz/sport/143124-championnat-arabe-de-natation-oran-2022-3e-journee-deux-medailles-d-or-supplementaires-pour-l-algerie,1,https://twitter.com/APS_Algerie/status/1550783138003140609,27,0,fr,1,,"{1455661782262026241: {'uid': 1455661782262026241, 'name': 'AL KABRANE 🇩🇿', 'username': 'bedia_omar'}, 1209494255946944517: {'uid': 1209494255946944517, 'name': 'Asnoune Nasser', 'username': 'AsnouneN'}, 455050058: {'uid': 455050058, 'name': 'sefiane92', 'username': 'sefiane92'}, 811376232: {'uid': 811376232, 'name': 'Abderrahmane Smahi', 'username': 'Smahi_ab'}, 1519071557792022528: {'uid': 1519071557792022528, 'name': 'Tazairt', 'username': 'Tazairt5'}, 1658326134: {'uid': 1658326134, 'name': 'N🌟F⚓', 'username': 'LudmilaNadra'}, 824721262798925826: {'uid': 824721262798925826, 'name': 'Aziz Hétéro', 'username': 'AzizHetero'}, 4470223341: {'uid': 4470223341, 'name': 'Rachosukoï57', 'username': 'RachoThevestar'}, 712701608308711424: {'uid': 712701608308711424, 'name': 'lsou', 'username': 'lsou5'}, 1257127896608641029: {'uid': 1257127896608641029, 'name': 'Lyes chihoub🇩🇿', 'username': 'ChihoubLyes'}, 1218511213824552960: {'uid': 1218511213824552960, 'name': 'الجزائر خط أحمر', 'username': 'Bouchra92532112'}, 1512490588960178176: {'uid': 1512490588960178176, 'name': 'The kabyle', 'username': 'SarahCo68750120'}, 1075857285975543808: {'uid': 1075857285975543808, 'name': 'Bengoufa Nabil', 'username': 'BengoufaN'}, 1531048258243596290: {'uid': 1531048258243596290, 'name': 'SidAli', 'username': 'SidAli82535623'}, 1526935442574262272: {'uid': 1526935442574262272, 'name': 'Mounir 🇩🇿', 'username': 'Mounir_747'}, 1529995373728698368: {'uid': 1529995373728698368, 'name': 'Jean Boukane', 'username': 'JeanNeymar1343'}, 1550583386074406913: {'uid': 1550583386074406913, 'name': 'BRAHIM BRAHIM', 'username': 'BRAHIMB00064441'}, 1483181702616920072: {'uid': 1483181702616920072, 'name': 'Algerian Power', 'username': 'ALGERIAN__POWER'}, 1541376372786044929: {'uid': 1541376372786044929, 'name': 'LAHOUARI', 'username': 'LAHOUARI77'}, 1040641339350806528: {'uid': 1040641339350806528, 'name': 'مرصد /dz الإخباري', 'username': 'sIoZSnpe4iTMzW3'}, 1106535793303015425: {'uid': 1106535793303015425, 'name': 'Fath Belal', 'username': 'belal_fath'}, 1419141884706971658: {'uid': 1419141884706971658, 'name': '25ème RR', 'username': '25emeRr'}, 1333853875883941890: {'uid': 1333853875883941890, 'name': 'Sofia Radji', 'username': 'SossoRdj'}, 1401825473018175497: {'uid': 1401825473018175497, 'name': 'غباش كمال', 'username': 'IUlixObCjofz8Jj'}, 1529025260724666370: {'uid': 1529025260724666370, 'name': 'Doudou', 'username': 'dida1402'}}",1,0,1,2022-07-23,1.0,#natation #Oran2022 #Algérie,🇩🇿 🥇 🥇 🔗,1
2,soir_officiel,championnat arabe de natation : lalgerie decroche trois medailles dor lors de la 1re journee https://t.co/d3rvzy1iod via https://t.co/o8cyuv9z2f,championnat arabe natation lalgerie decroche trois medaille dor lors 1re journee https://t.co/d3rvzy1iod via https://t.co/o8cyuv9z2f,2022-07-21 12:53:17+00:00,1550101607119036416,https://www.lesoirdalgerie.com/s@c6zam9fr85494,1,https://twitter.com/soir_officiel/status/1550101607119036416,0,0,fr,0,,,1,0,0,2022-07-21,1.0,#Oran2022,,1
3,hakimmkireche,tout ce travail magique au final une etat qui pousse en arriere  merci mais l'algerie ne sera jamais une etoile tant que cette mafia continue de gouverner  https://t.co/fwseky8sol,travail magique final etat pousse arriere merci le jamais etoile tant ce mafia continue gouverner https://t.co/fwseky8sol,2022-07-19 15:32:57+00:00,1549417012635619331,,0,https://twitter.com/hakimmkireche/status/1549417012635619331,1,0,fr,0,,,1,0,0,2022-07-19,1.0,#DJSNAKE #tourism #Discomaghreb #oran2022 #Algeria,😑,1
4,SyfaxArk,le recap de trip in est juste magnifique  https://t.co/nm4bac8tnj,recap trip in juste magnifique https://t.co/nm4bac8tnj,2022-07-18 21:41:12+00:00,1549147299800129536,,0,https://twitter.com/SyfaxArk/status/1549147299800129536,0,0,fr,0,,,1,0,0,2022-07-18,1.0,#Algeria2022 #DiscoMaghreb #oran2022,🔥 🔥 🔥 ❤️ ❤️ ❤️,1
5,myriamfayrouse,aaaaah de la fraicheur en ces temps de canicule - tahia el would el  ,aaaaah fraicheur temps canicul tahier el would el,2022-07-18 17:25:14+00:00,1549082882228031489,,0,https://twitter.com/myriamfayrouse/status/1549082882228031489,4,0,fr,0,,,1,0,0,2022-07-18,1.0,#filsdupeuple #Oran2022 #discomaghreb #DJSNAKE,🇩🇿,1
6,ariderouki,5 july independence day    by :  https://t.co/toxb1itlff,5 july independence day by https://t.co/toxb1itlff,2022-07-17 02:21:30+00:00,1548493062455713794,,0,https://twitter.com/ariderouki/status/1548493062455713794,1,0,fr,0,,,1,0,0,2022-07-17,1.0,#Oran2022 #cojm2022 #Algerie,🔥,1
7,linalilou13,"aujourdhui, jai rencontre yasmina khadra  https://t.co/6mctex1bxy",aujourdhui jai rencontre yasmina khadra https://t.co/6mctex1bxy,2022-07-16 23:00:40+00:00,1548442522036289539,,0,https://twitter.com/linalilou13/status/1548442522036289539,7,0,fr,0,,,1,0,0,2022-07-16,1.0,,🇩🇿 ✨ 🤍,1
8,DZfoot,"itw dzfoot : edhy zuliani,  la selection m'a veritablement relance    capitaine de len u18, edhy zuliani a accepte de revenir sur le parcours des verts aux jm 2022 mais aussi daborder en longueur son parcours avec le tfc   https://t.co/izzbt1l5yn",itw dzfoot edhy zuliani selection me veritablement relance capitaine len u18 edhy zuliani avoir accepte revenir parcours vert jm 2022 aussi daborder longueur parcours tfc https://t.co/izzbt1l5yn,2022-07-16 16:21:29+00:00,1548342062101082114,https://www.dzfoot.com/equipes-nationales/itw-dzfoot-edhy-zuliani-la-selection-ma-veritablement-relance-228389.html,1,https://twitter.com/DZfoot/status/1548342062101082114,41,1,fr,1,"{1509072055936987140: {'uid': 1509072055936987140, 'name': 'Kader J-word', 'username': 'Kader_Japoma', 'tweet_id': 1548418348681113601, 'tweet_text': 'Je viens de lire l’interview j’en suis presque ému qu’Allah offre à ce petit ce dont il rêve et plus https://t.co/y3Hj8MZ2wg'}}","{1355835374459908097: {'uid': 1355835374459908097, 'name': 'JAROD', 'username': 'TEFLONSO'}, 1490819253104222211: {'uid': 1490819253104222211, 'name': 'Seyyidahmed', 'username': 'Seyyidahmed91'}, 1143194089699053568: {'uid': 1143194089699053568, 'name': 'Nico El Raspe', 'username': 'TorzizQuilombo'}, 625901683: {'uid': 625901683, 'name': 'Cata', 'username': 'Cata468'}, 1495495464338300932: {'uid': 1495495464338300932, 'name': 'Siele', 'username': 'Siele_SP'}, 616995155: {'uid': 616995155, 'name': 'K-22✊🏾', 'username': 'Kaamardiin'}, 702481028510851072: {'uid': 702481028510851072, 'name': 'Zinou', 'username': 'ZinouAbdelkader'}, 1548399994469642240: {'uid': 1548399994469642240, 'name': 'Vettereuletiuto', 'username': 'Vettereuletiut1'}, 4358609841: {'uid': 4358609841, 'name': 'The Normal Man', 'username': 'TheNormalOneMan'}, 909072069404626945: {'uid': 909072069404626945, 'name': 'Good Plans', 'username': 'good_plans_JV'}, 1548384057385295873: {'uid': 1548384057385295873, 'name': 'dataxetulehiesuro', 'username': 'dataxetulehies1'}, 1438573308342149122: {'uid': 1438573308342149122, 'name': 'Abdoudou', 'username': 'Abdoudou_dz'}, 1486995497483223045: {'uid': 1486995497483223045, 'name': 'Idir ⵣ🇩🇿', 'username': 'IdirBlk'}, 3772819761: {'uid': 3772819761, 'name': 'Hichem Bouzana', 'username': 'HhfHichem'}, 989266097659613184: {'uid': 989266097659613184, 'name': 'Who’s_Who_213 🇩🇿⁉️', 'username': 'chriki_dz'}, 1515234754391687169: {'uid': 1515234754391687169, 'name': 'Safou Rita', 'username': 'RitaSafou'}, 1472533561202941961: {'uid': 1472533561202941961, 'name': 'Lammar mahdi', 'username': 'MahdiLammar'}, 1464614094992990210: {'uid': 1464614094992990210, 'name': 'aymen-geo 🇩🇿', 'username': 'KacimiAymen'}, 322845174: {'uid': 322845174, 'name': 'Hamouche', 'username': 'HmcBenmamar'}, 2636431129: {'uid': 2636431129, 'name': 'karim1971', 'username': 'oa_karim'}, 159592893: {'uid': 159592893, 'name': 'messaour samir', 'username': '3omri21'}, 1415791431327830020: {'uid': 1415791431327830020, 'name': 'ZAZA SEBAA', 'username': 'SebaaZaza'}, 3025378793: {'uid': 3025378793, 'name': 'Prince Dz⭐🇩🇿⭐Madridista🟣⚪', 'username': 'starlord113'}, 2743751566: {'uid': 2743751566, 'name': 'Ys  ☪', 'username': 'FromParis2AlG'}, 1271116116212015106: {'uid': 1271116116212015106, 'name': '🇩🇿 محمد الآمين', 'username': 'ThrAmine23'}, 495246286: {'uid': 495246286, 'name': 'azzedine farsi', 'username': 'AzzedinePrince'}, 1195958777532624897: {'uid': 1195958777532624897, 'name': 'Guerdoud Soraya', 'username': 'GuerdoudS'}, 1380206854282874884: {'uid': 1380206854282874884, 'name': 'Aknouche Houssem', 'username': 'HoussemAknouche'}, 1432641008655798274: {'uid': 1432641008655798274, 'name': 'cityzen', 'username': 'azerty761276'}, 1547680055085584385: {'uid': 1547680055085584385, 'name': 'holmer holmer', 'username': 'holmerholmer1'}, 916175352279465984: {'uid': 916175352279465984, 'name': 'Ø.21 x Ramos', 'username': 'RamosKylian'}, 1440947190449516550: {'uid': 1440947190449516550, 'name': 'CoeurWhite', 'username': 'haythem878'}, 913347106374549504: {'uid': 913347106374549504, 'name': '#TacticienDévastéEffondré', 'username': 'MohamedBrahdji'}, 1414915810397757440: {'uid': 1414915810397757440, 'name': 'Amara Marwa', 'username': 'amr_marwa11'}}",1,1,1,2022-07-16,1.0,#TeamDZ #Oran2022,🇩🇿 ⚽️,1
9,GhezzarHana,"avec  ramzy lun des meilleurs acteurs et humoristes en france. franco-algerien , il est doran ma ville natale  et celle dun certain yves saint laurent  https://t.co/vhfqvcvjbx",ramzy lun meilleur acteur humoriste france franco-algerien doran ville natal celui dun certain yves saint laurent https://t.co/vhfqvcvjb,2022-07-15 21:00:43+00:00,1548049945961254912,,0,https://twitter.com/GhezzarHana/status/1548049945961254912,22,0,fr,4,,"{1522988392828571649: {'uid': 1522988392828571649, 'name': 'saminasris2', 'username': 'saminasris2'}, 1534881445583495169: {'uid': 1534881445583495169, 'name': 'Alaph', 'username': 'Alaph16'}, 1468095640789917697: {'uid': 1468095640789917697, 'name': 'christophe druesnes', 'username': 'druesnescd92'}, 1240585892387053568: {'uid': 1240585892387053568, 'name': 'Radjaa', 'username': 'Radjaa31863132'}, 1461746399700262917: {'uid': 1461746399700262917, 'name': 'Blue Nim', 'username': 'koodjen'}, 1533215060742529024: {'uid': 1533215060742529024, 'name': 'Mouha Moh', 'username': 'MouhaMoh7'}, 889253727919624192: {'uid': 889253727919624192, 'name': 'Yepyep', 'username': 'yepyep_13009'}, 1446376559124885526: {'uid': 1446376559124885526, 'name': 'نور الشام', 'username': 'nour_yasmine13'}, 1492917889598382085: {'uid': 1492917889598382085, 'name': 'MohamedAmrouche81', 'username': 'Amrouche81M'}, 1158430201682059265: {'uid': 1158430201682059265, 'name': 'Rock Lee 🇩🇿🇵🇸', 'username': 'Rocklee472'}, 1042842519149715456: {'uid': 1042842519149715456, 'name': 'VELSTANA', 'username': 'velstana'}, 1018565876327571456: {'uid': 1018565876327571456, 'name': 'Eldjazairi59', 'username': 'el_djazairi59'}, 1496992998621696005: {'uid': 1496992998621696005, 'name': 'NawelNagham', 'username': 'NawelNagham'}, 1466048384746364936: {'uid': 1466048384746364936, 'name': 'Kamel🐦', 'username': 'Kamel31001'}, 1333853875883941890: {'uid': 1333853875883941890, 'name': 'Sofia Radji', 'username': 'SossoRdj'}, 3432865143: {'uid': 3432865143, 'name': 'Rabie👁️', 'username': 'Rabiekherouf'}, 1062802978749464577: {'uid': 1062802978749464577, 'name': 'Houyem MENAGER هيام مناجر', 'username': 'HouyemMe'}, 326841625: {'uid': 326841625, 'name': 'Joilguy', 'username': 'joilguy'}, 719919780271144960: {'uid': 719919780271144960, 'name': 'karim MH', 'username': 'karim_mechhoud'}, 1010995661154766848: {'uid': 1010995661154766848, 'name': 'Sarah Saldmann', 'username': 'SarahSaldmann'}}",1,0,1,2022-07-15,1.0,#ericetramzy #oran2022 #paris,😌 😎,1
10,Mahiedd80148050,"merci a france televisions qui nous regale comme chaque annee avec ces belles images du tour de france, des prises de vues extraordinaires de ce beau paysage. merci  ",merci avoir france television regal comme chaque annee bel image tour france prise vue extraordinaire beau paysage merci,2022-07-15 12:25:41+00:00,1547920333230878721,,0,https://twitter.com/Mahiedd80148050/status/1547920333230878721,0,0,fr,0,,,1,0,0,2022-07-15,1.0,#TourDeFrance #Algeria #oran2022,👍,1
11,94_chaoui,si j'achete mon deo en algerie peut on dire que c'est un deo d'oran ? !..  #oran2022,si je deo algerie pouvoir dire ce deo de ! #,2022-07-14 21:54:51+00:00,1547701183090814979,,0,https://twitter.com/94_chaoui/status/1547701183090814979,28,0,fr,10,,"{1863388568: {'uid': 1863388568, 'name': ""Moh' Saïd 🇫🇷 🇵🇸 🇲🇦 φ"", 'username': 'SanaeRamy'}, 1218979465210011649: {'uid': 1218979465210011649, 'name': 'mohamed dahmani', 'username': 'mohamed88464381'}, 3635464576: {'uid': 3635464576, 'name': 'Amine Kara 🇩🇿🇩🇿🇩🇿', 'username': 'AmineKara68'}, 951892752236797952: {'uid': 951892752236797952, 'name': 'Fafa', 'username': 'Fafa44608488'}, 1214077634600042498: {'uid': 1214077634600042498, 'name': 'Абдельхани', 'username': 'Ghani_Du92'}, 1449282035789479937: {'uid': 1449282035789479937, 'name': 'Sabrina 🇩🇿❤️🇵🇸⭐⭐', 'username': 'SaabrinaDz'}, 903155227423068160: {'uid': 903155227423068160, 'name': 'Nacho', 'username': 'Nacho55552131'}, 786486859761381376: {'uid': 786486859761381376, 'name': 'KB-19', 'username': 'kb19karim'}, 2221829513: {'uid': 2221829513, 'name': 'Hassaine Mustapha', 'username': 'HassaineMustaph'}, 1260350630415269891: {'uid': 1260350630415269891, 'name': 'Nicole Annie🌺', 'username': 'NicoleAnnie9'}, 1516544169107496969: {'uid': 1516544169107496969, 'name': 'mouslima🥰🥰', 'username': 'DehrarMounira'}, 960806055285608449: {'uid': 960806055285608449, 'name': 'DjoDjoKawa', 'username': 'JordanaGrss'}, 1535486465773383681: {'uid': 1535486465773383681, 'name': 'Impératrice 13', 'username': 'SultanaLiberta'}, 1537357161260531718: {'uid': 1537357161260531718, 'name': 'D', 'username': 'youyou9675'}, 3917032109: {'uid': 3917032109, 'name': 'DJAM9316🇩🇿🇵🇸جمال', 'username': 'djamtoutcourt'}, 2660063554: {'uid': 2660063554, 'name': 'Madame', 'username': 'bou_bou_dz'}, 1538677119340920833: {'uid': 1538677119340920833, 'name': 'Inès', 'username': 'Ins47243429'}, 559560809: {'uid': 559560809, 'name': 'Monique /Batna colère', 'username': 'BATNACOLERE'}, 1361627324463124480: {'uid': 1361627324463124480, 'name': 'Dottoressa lite \U0001faf6🏻', 'username': 'cocolipa'}, 983446376808898560: {'uid': 983446376808898560, 'name': 'TUCO ..', 'username': 'TUCO61084237'}, 801517163446206476: {'uid': 801517163446206476, 'name': 'Fouzi Gone', 'username': 'FouziGone'}, 753311129603112960: {'uid': 753311129603112960, 'name': 'Halima bac+5 en 4 jours', 'username': 'Halima9331'}, 1264396242: {'uid': 1264396242, 'name': 'lily🦋', 'username': 'lili32101'}}",1,0,1,2022-07-14,1.0,,,1
12,EmpireMaroc,"jeux mediterraneens d'oran ! les athletes partis, oran redevient une poubelle a ciel ouvert ! chassez le naturel, il revient au galop ! https://t.co/xsauyjoypb",jeu mediterraneen de athlete parti oran redevenir poubelle avoir ciel ouvert chassez naturel revenir galop https://t.co/xsauyjoypb,2022-07-14 07:46:25+00:00,1547487666861735936,,0,https://twitter.com/EmpireMaroc/status/1547487666861735936,13,3,fr,8,"{2695679609: {'uid': 2695679609, 'name': 'Henrique', 'username': 'Henrique5998', 'tweet_id': 1549454737858248704, 'tweet_text': '@nabilnabilar @sam_quo @DadouNarimene @blast_dz @YoussLyautey @lila_massard 🤣🤣🤣🤣🤣🤣🤣🤣🤣 https://t.co/KRtQf8mPPt'}, 52505989: {'uid': 52505989, 'name': 'YuriMargrIne', 'username': 'wild_gat', 'tweet_id': 1547575477857968136, 'tweet_text': ""Selma s'inquiète pour Oran plus que  son Maire... https://t.co/2u3Y81n2zy""}, 1191843463106564096: {'uid': 1191843463106564096, 'name': 'خديجة', 'username': 'dija_bel', 'tweet_id': 1547574140340559873, 'tweet_text': 'Qqn peut lui dire que c’était l’aid et la plupart des services publics étaient fermés ou un minimum assuré (plusieurs jours fériés). Elle ne doit pas savoir ce qu’est un pays musulman meskina \n#TweetCommeLesMoorish https://t.co/7dM29lkXo3'}}",,1,1,0,2022-07-14,1.0,#jeuxmediterraneens #oran2022 #Algerie #salete #TweetCommeLesMoorish,,2
13,AmsAfrique,les jeux mediterraneens oran 2022 sont officiellement lances ! la 19eme edition en algerie chance a tous les athletes qui participent aux jeux mediterraneens !  https://t.co/bthwhbaqpp,jeu mediterraneen oran 2022 officiellement lance 19em edition algerie chance avoir tout athlete participer jeu mediterraneen https://t.co/bthwhbaqpp,2022-07-13 12:58:15+00:00,1547203755359207424,,0,https://twitter.com/AmsAfrique/status/1547203755359207424,0,0,fr,0,,,1,0,0,2022-07-13,1.0,"#ORAN2022.

Bonne",🇩🇿 💪,2
14,MBLAMINE,selon l'annonce et les photos publiees par la ft mohamed fares jlassi ne fait partie de la  qui s'est deplacee aujourd'hui aux rappel jlassi s'est blesse en finale du 400m a https://t.co/toafsccped,selon le photo publieer ft mohamed fare jlassi faire partie se deplacee aujourd'hui rappel jlassi se blesse final 400 avoir https://t.co/toafsccped,2022-07-11 15:11:42+00:00,1546512563403476992,,0,https://twitter.com/MBLAMINE/status/1546512563403476992,0,0,fr,1,,,1,0,0,2022-07-11,1.0,"#Athlétisme, #TeamTn #WorldAthleticsChamps

Pour #Oran2022

#WCHOregon22 #Oregon22 #Athletics #Tunisia",🇹🇳,1
